ucsc external_gene_name ensembl_gene_id
uc003qpm.3 RGS17 ENSG00000091844
uc003qwt.3 THBS2 ENSG00000186340
uc003sip.3 FAM20C ENSG00000177706
uc003skf.1 AC091729.9 ENSG00000229043
uc003skr.3 MAFK ENSG00000198517
uc003skt.4 TMEM184A ENSG00000164855
uc003sou.3 FSCN1 ENSG00000075618
uc003sum.3 TWIST1 ENSG00000122691
uc003sup.1 TWISTNB ENSG00000105849
uc003svh.3 STEAP1B ENSG00000105889
uc003swa.2 GPNMB ENSG00000136235
uc003sxq.3 NFE2L3 ENSG00000050344
uc003sxt.3 CBX3 ENSG00000122565
uc003tih.3 STK17A ENSG00000164543
uc003tjc.2 POLR2J4 ENSG00000214783
uc003tjc.2 RP5-1165K10.2 ENSG00000273432
uc003tjs.3 PGAM2 ENSG00000164708
uc003trd.3 MRPS17 ENSG00000239789
uc003ttr.2 ZNF117 ENSG00000152926
uc003uew.3 HSPB1 ENSG00000106211
uc003uhb.1 GNAI1 ENSG00000127955
uc003uhz.3 SEMA3A ENSG00000075213
uc003ujx.3 STEAP1 ENSG00000164647
uc003ula.3 FZD1 ENSG00000157240
uc003ulm.4 CYP51A1 ENSG00000001630
uc003und.3 GNG11 ENSG00000127920
uc003uoa.3 PDK4 ENSG00000004799
uc003vdq.3 NAMPT ENSG00000105835
uc003vdt.3 CCDC71L ENSG00000253276
uc003vhz.2 CAV2 ENSG00000105971
uc003vih.3 CAV1 ENSG00000105974
uc003vjk.3 TSPAN12 ENSG00000106025
uc003voy.3 SMKR1 ENSG00000240204
uc003vrp.1 AKR1B1 ENSG00000085662
uc003vrr.3 AKR1B10 ENSG00000198074
uc003vwi.2 AGK ENSG00000006530
